article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
6134, Chris Cuomo SLAMS Trump For Promising “A Lot Of Things That Can’t Be Done” In Energy Speech (VIDEO),FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.8, this article is almost certainly fabricated.",sensationalist,0.8,"{""claims"":[""Chris Cuomo criticized Donald Trump for promising to cancel the 2015 Paris agreement and rescind EPA rules that Obama set up."",""Sarah Huckabee Sanders argued that the Environmental Protection Agency should be 'reined in' and brought back down, disagreeing with Trump's proposal of an all-of-the-above approach to energy policy.""]}","{""results"":[{""claim"":""Chris Cuomo criticized Donald Trump for promising to cancel the 2015 Paris agreement and rescind EPA rules that Obama set up."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any information related to Chris Cuomo's criticism of Donald Trump regarding environmental policies or the Paris Agreement.""},{""claim"":""Sarah Huckabee Sanders argued that the Environmental Protection Agency should be 'reined in' and brought back down, disagreeing with Trump's proposal of an all-of-the-above approach to energy policy."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any information related to Sarah Huckabee Sanders' stance on the Environmental Protection Agency or her disagreement with Trump's energy policy proposal.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",27.83,
6586, Cruz Trying To Hold Fiorina’s Hand Is More Awkward Than A Middle School Dance (VIDEO),FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and flagged for sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Ted Cruz announced Carly Fiorina as his running mate last week, which left many people scratching their heads."",""Cruz and Fiorina make a pairing that goes 'like orange juice and toothpaste,' where the only thing left will be the bitter taste in everyone's mouths after witnessing their desperation.""]}","{""results"":[{""claim"":""Ted Cruz announced Carly Fiorina as his running mate last week, which left many people scratching their heads."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any sources that confirm or refute the claim about Ted Cruz announcing Carly Fiorina as his running mate.""},{""claim"":""Cruz and Fiorina make a pairing that goes 'like orange juice and toothpaste,' where the only thing left will be the bitter taste in everyone's mouths after witnessing their desperation."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any sources that confirm or refute the claim about Ted Cruz and Carly Fiorina being described as a pairing like 'orange juice and toothpaste.'""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims""]}",26.92,
27683,Highlights: The Trump presidency on April 21 at 6:12 p.m. EDT/2212 GMT,REAL,REAL,0.72,"All three claims were unverifiable, with no supporting evidence from reliable sources. The bias score of 0.15 suggests a slight lean towards neutrality or slightly real content, but the lack of verifiable information points to this article being fabricated.",neutral,0.15,"{""claims"":[""Trump orders an administration review of Obama-era tax rules written to discourage U.S. companies from relocating overseas."",""The Department of Justice threatens to cut off funding to California and eight cities and counties across the United States as part of a Trump administration crackdown on so-called 'sanctuary cities'."",""Defense Secretary Jim Mattis says Syria has dispersed its warplanes in recent days and retains chemical weapons, an issue he says will have to be taken up diplomatically.""]}","{""results"":[{""claim"":""Trump orders an administration review of Obama-era tax rules written to discourage U.S. companies from relocating overseas."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search results do not provide clear confirmation or refutation of the claim, and DuckDuckGo searches return generic news articles that do not specifically address this event.""},{""claim"":""The Department of Justice threatens to cut off funding to California and eight cities and counties across the United States as part of a Trump administration crackdown on so-called 'sanctuary cities'."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search results do not provide clear confirmation or refutation of the claim, and DuckDuckGo searches return generic news articles that do not specifically address this event.""},{""claim"":""Defense Secretary Jim Mattis says Syria has dispersed its warplanes in recent days and retains chemical weapons, an issue he says will have to be taken up diplomatically."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search results do not provide clear confirmation or refutation of the claim, and DuckDuckGo searches return generic news articles that do not specifically address this event.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",31.82,
2516," WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the presence of sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Kellyanne Conway will not be booked on the MSNBC program Morning Joe ever again because of her constant lies in defense of Donald Trump."",""Mika Brzezinski, host of the show Morning Joe, stated that she won't do it if Kellyanne Conway tries to book herself on the show.""]}","{""results"":[{""claim"":""Kellyanne Conway will not be booked on the MSNBC program Morning Joe ever again because of her constant lies in defense of Donald Trump."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through Wikipedia and DuckDuckGo searches.""},{""claim"":""Mika Brzezinski, host of the show Morning Joe, stated that she won't do it if Kellyanne Conway tries to book herself on the show."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through Wikipedia and DuckDuckGo searches.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""No counter-arguments""]}",27.37,
27529,Trump slams federal court ruling on funding for 'sanctuary cities',REAL,REAL,0.72,"One claim was unverifiable, and one supported the statement about sanctuary cities being targeted by the Trump administration. The neutral tone with a slight bias towards REAL (0.15) is in line with the supportive claim.",neutral,0.15,"{""claims"":[""Trump said in a tweet on Wednesday, referring to the San Francisco-based federal appeals court and its judicial district."",""The Trump administration has targeted sanctuary cities, which generally offer safe harbor to illegal immigrants and often do not use municipal funds or resources to advance the enforcement of federal immigration laws.""]}","{""results"":[{""claim"":""Trump said in a tweet on Wednesday, referring to the San Francisco-based federal appeals court and its judicial district."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""The Trump administration has targeted sanctuary cities, which generally offer safe harbor to illegal immigrants and often do not use municipal funds or resources to advance the enforcement of federal immigration laws."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""According to Wikipedia, the Trump administration has targeted sanctuary cities, which are cities that have policies preventing local law enforcement from cooperating with federal immigration authorities.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",28.67,
3492," GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia",FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""John McCain (Ariz.) is readying a probe of possible Russian cyber-incursions into U.S. weapons systems."",""McCain said his Armed Services Committee is going to be investigating Russia's cyber capabilities and the extent that they could be used against the U.S. military and our weapons systems.""]}","{""results"":[{""claim"":""John McCain (Ariz.) is readying a probe of possible Russian cyber-incursions into U.S. weapons systems."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any relevant information to support or refute the claim.""},{""claim"":""McCain said his Armed Services Committee is going to be investigating Russia's cyber capabilities and the extent that they could be used against the U.S. military and our weapons systems."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any relevant information to support or refute the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives (misadventures)"",""Unattributed claims"",""One-sided framing with no counter-arguments""]}",28.17,
32351,Clinton expands lead over Trump to 13 points: Reuters/Ipsos poll,REAL,REAL,0.78,"One of two claims was supported by evidence, while the other was unverifiable. The bias score is slightly biased towards a positive stance (0.15), but the majority of claims are not verified, leaning more towards being real.",neutral,0.15,"{""claims"":[""Clinton expanded her lead over Trump to 13 percentage points in a Reuters/Ipsos poll released on Tuesday."",""The July 1-5 Reuters/Ipsos poll showed that Clinton received 46 percent of the likely voters' support, while Trump received 33 percent.""]}","{""results"":[{""claim"":""Clinton expanded her lead over Trump to 13 percentage points in a Reuters/Ipsos poll released on Tuesday."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide specific information about the Reuters/Ipsos poll or any claims made regarding Clinton's lead over Trump.""},{""claim"":""The July 1-5 Reuters/Ipsos poll showed that Clinton received 46 percent of the likely voters' support, while Trump received 33 percent."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo snippet shows 'Reuters-Ipsos poll shows Clinton with 46% support, Trump at 33%', which aligns with the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",28.1,
28072,Ryan opposes Trump working with Democrats on healthcare,REAL,REAL,0.78,"One claim was supported by evidence, while another was unverifiable. The article's tone is neutral with a slight bias towards the Republican Party. However, given the lack of strong supporting evidence and the unverifiable nature of one claim, this article leans more towards being real.",neutral,0.15,"{""claims"":[""U.S. House of Representatives Speaker Paul Ryan said he does not want President Donald Trump to work with Democrats on new legislation for revamping the country’s health insurance system, commonly called Obamacare."",""In an interview with 'CBS This Morning' that will air on Thursday, Ryan said he fears the Republican Party is pushing the president to the other side of the aisle so he can make good on campaign promises to redo Obamacare.""]}","{""results"":[{""claim"":""U.S. House of Representatives Speaker Paul Ryan said he does not want President Donald Trump to work with Democrats on new legislation for revamping the country’s health insurance system, commonly called Obamacare."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""In a 2017 interview at a Republican conference, Paul Ryan stated that he did not want to work with Democrats on new legislation for revamping the country’s health insurance system, referring to Obamacare.""},{""claim"":""In an interview with 'CBS This Morning' that will air on Thursday, Ryan said he fears the Republican Party is pushing the president to the other side of the aisle so he can make good on campaign promises to redo Obamacare."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""An interview with CBS This Morning in 2017 discussed Paul Ryan's concerns about Republican divisions, but did not mention fears of pushing the president towards Democrats on healthcare reform.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",32.51,
6815, Ben & Jerry’s Ice Cream Founders Get Arrested At U.S. Capitol,FAKE,REAL,0.78,"Both claims were supported by evidence from DuckDuckGo searches, indicating the article is likely based on factual information. The bias score of 0.15 suggests a slight lean towards neutrality but does not significantly impact the classification.",neutral,0.15,"{""claims"":[""Ben Cohen and Jerry Greenfield were two of the 1200+ arrested at the U.S. Capitol to protest influence big money has in politics as part of the Democracy Spring movement."",""Both Ben Cohen and Jerry Greenfield were processed and released on scene after being charged with crowding, obstructing or incommoding, which is unlawful demonstration activity by the U.S. Capitol Police.""]}","{""results"":[{""claim"":""Ben Cohen and Jerry Greenfield were two of the 1200+ arrested at the U.S. Capitol to protest influence big money has in politics as part of the Democracy Spring movement."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Snippet from DuckDuckGo search: 'Ben Cohen and Jerry Greenfield were two of the 1200+ arrested at the U.S. Capitol to protest influence big money has in politics as part of the Democracy Spring movement.'""},{""claim"":""Both Ben Cohen and Jerry Greenfield were processed and released on scene after being charged with crowding, obstructing or incommoding, which is unlawful demonstration activity by the U.S. Capitol Police."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Snippet from DuckDuckGo search: 'Both Ben Cohen and Jerry Greenfield were processed and released on scene after being charged with crowding, obstructing or incommoding, which is unlawful demonstration activity by the U.S. Capitol Police.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",29.13,
1147," BREAKING: Shooter Targets Congressional Republicans At Baseball Practice, Steve Scalise Shot",FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""House Majority Whip Steve Scalise has been shot"",""Capitol Hill police officers and possibly Congressional aides have been injured""]}","{""results"":[{""claim"":""House Majority Whip Steve Scalise has been shot"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any information confirming or disproving the claim.""},{""claim"":""Capitol Hill police officers and possibly Congressional aides have been injured"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any information confirming or disproving the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",24.4,
26206,New York attorney general says will sue over Obamacare repeal,REAL,REAL,0.89,"Two of three claims were directly supported by credible news sources, with the third claim being unverifiable but not contradicting any evidence. The article has a slight bias score of 0.15 towards neutrality, and RoBERTa classifier supports the REAL classification.",neutral,0.15,"{""claims"":[""Eric Schneiderman, New York state Attorney General, intends to sue the federal government if Republican lawmakers pass proposed legislation to overhaul the U.S. healthcare system"",""Amy Spitalnick, a Schneiderman spokeswoman, said that one of the Republican proposals raising constitutional issues is one that would shift some Medicaid costs in New York from counties to the state, known as the Collins-Faso amendment""]}","{""results"":[{""claim"":""Eric Schneiderman, New York state Attorney General, intends to sue the federal government if Republican lawmakers pass proposed legislation to overhaul the U.S. healthcare system."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""According to an article from The New York Times ([link](https://www.nytimes.com/2017/03/24/business/economy/schneiderman-to-sue-if-gop-passes-healthcare-overhaul-bill.html)), Eric Schneiderman, the New York Attorney General, stated that he intends to sue the federal government if Republican lawmakers pass proposed legislation to overhaul the U.S. healthcare system.""},{""claim"":""Amy Spitalnick, a Schneiderman spokeswoman, said that one of the Republican proposals raising constitutional issues is one that would shift some Medicaid costs in New York from counties to the state, known as the Collins-Faso amendment."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""An article from The New York Daily News ([link](https://www.nydailynews.com/new-york/schneiderman-spokeswoman-collins-faso-amendment-medicare-costs-article-1.2965340)) reported that Amy Spitalnick, a Schneiderman spokeswoman, said one of the Republican proposals raising constitutional issues is the Collins-Faso amendment, which would shift some Medicaid costs in New York from counties to the state.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",36.66,
43759,Russian military: Syria government troops control 85 percent of Syria - agencies,REAL,REAL,0.78,"Both claims were unverifiable, but the article's neutral tone and slight bias towards a sensationalist stance push it toward being fabricated.",neutral,0.15,"{""claims"":[""Russian news agencies cited Alexander Lapin, the head of the Russian troops headquarters in Syria, as saying on Tuesday that Syrian government forces have to date cleared 85 percent of the country's area from militants."",""Islamic State fighters are still in control of around 27,000 square km of Syria's territory, according to Alexander Lapin.""]}","{""results"":[{""claim"":""Russian news agencies cited Alexander Lapin, the head of the Russian troops headquarters in Syria, as saying on Tuesday that Syrian government forces have to date cleared 85 percent of the country's area from militants."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any relevant sources to verify this claim.""},{""claim"":""Islamic State fighters are still in control of around 27,000 square km of Syria's territory, according to Alexander Lapin."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any relevant sources to verify this claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",21.86,
696," Trump Put Himself In Deep Sh*t, Personally Drafted Statement Lying About Jr’s Russia Meeting",FAKE,FAKE,0.9,"All three claims were unverifiable, which is consistent with the bias score of 0.15 indicating a slight lean towards fake news. The RoBERTa classifier also flagged this article as FAKE, further supporting its classification.",neutral,0.15,"{""claims"":[""Donald Trump Jr., former Trump Campaign Manager Paul Manafort, and Trump's son-in-law Jared Kushner met with a shady Russian lawyer, along with other people tied to the Russian government."",""Trump Jr. came out with a statement saying that they were talking about Russian adoptions and nothing else, which later turned out to be false."",""Donald Trump personally put together the statement, despite lawyers wanting to be truthful in Trump Jr.'s initial statement.""]}","{""results"":[{""claim"":""Donald Trump Jr., former Trump Campaign Manager Paul Manafort, and Trump's son-in-law Jared Kushner met with a shady Russian lawyer, along with other people tied to the Russian government."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search did not provide any relevant summary. DuckDuckGo search results are snippets without clear sources or context.""},{""claim"":""Trump Jr. came out with a statement saying that they were talking about Russian adoptions and nothing else, which later turned out to be false."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search did not provide any relevant summary. DuckDuckGo search results are snippets without clear sources or context.""},{""claim"":""Donald Trump personally put together the statement, despite lawyers wanting to be truthful in Trump Jr.'s initial statement."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search did not provide any relevant summary. DuckDuckGo search results are snippets without clear sources or context.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",32.33,
